question,optionA,optionB,optionC,optionD,correctAnswer,category,difficulty,explanation
If a train travels at 60 km/hr, how many meters does it cover in 15 seconds?,250 m,150 m,200 m,300 m,250 m,Quantitative,Easy
A shopkeeper sells an item for 600 at a profit of 20%. Find the cost price.,500,480,520,550,500,Cost Price = (100/120) * 600 = 500.,Quantitative,Easy
What is 15% of 40% of 2000?,120,60,80,100,120,Quantitative,Easy,0.15 * 0.40 * 2000 = 120.
Find the missing number in the series: 4; 9; 16; 25; ?; 49,36,32,40,45,36,Logical,Easy,The series consists of squares of consecutive numbers: 2^2; 3^2; 4^2; 5^2; 6^2.
Pointing to a man, a woman said; He is the only son of my mother's mother. How is the woman related to the man?,Niece,Sister,Mother,Aunt,Niece,Logical,Easy
In a certain code, COMPUTER is written as RFUVQNPC. How is MEDICINE written?,EOJDJEFM,EOJDEJFM,MFEJDJOE,MFEDJDOE,EOJDJEFM,Logical,Easy
Choose the synonym of the word CANDID,Frank,Greedy,Dishonest,Secretive,Frank,Verbal,Easy,Candid means truthful and straightforward.
Select the antonym of the word ABANDON,Retain,Leave,Quit,Forsake,Retain,Verbal,Easy,Abandon means to leave; Retain means to keep.
Identify the error in the sentence: He have been working here since 2010.,He have,been working,here since,No error,He have,Verbal,Easy,He is a singular subject and requires 'has' instead of 'have'.
A and B can do a piece of work in 12 days and 16 days respectively. In how many days can they complete it together?,6.85 days,7 days,8.2 days,9 days,6.85 days,Quantitative,Medium,Work rate = (1/12 + 1/16) = 7/48. Days = 48/7 approx 6.85.
A man can row 15 km/hr in still water. If the speed of the stream is 3 km/hr, find his speed downstream.,18 km/hr,12 km/hr,15 km/hr,21 km/hr,18 km/hr,Quantitative,Medium
The ratio of the ages of A and B is 3:4. Five years ago, the ratio was 2:3. Find their present ages.,15 and 20,12 and 16,18 and 24,21 and 28,15 and 20,Quantitative,Medium
Find the simple interest on 5000 at 10% per annum for 3 years.,1500,1000,1200,1800,1500,Quantitative,Medium,SI = (P*R*T)/100 = (5000*10*3)/100 = 1500.
If A is 20% more than B, by what percent is B less than A?,16.66%,20%,25%,15%,16.66%,Quantitative,Medium
In a row of 40 students, R is 11th from the right. What is his position from the left?,30,31,29,32,30,Logical,Medium
If South-East becomes North, and North-East becomes West, what will West become?,South-East,North-West,South-West,North-East,South-East,Logical
Find the odd one out: 27; 64; 125; 144; 216,144,27,125,216,144,Logical,Medium,All others are perfect cubes: 3^3; 4^3; 5^3; 6^3. 144 is 12^2.
Statements: All mangoes are golden. Some golden things are apples. Conclusion: Some mangoes are apples.,False,True,Maybe,Insufficient data,False,Logical,Medium,The middle term 'golden' is not distributed in either premise.
If 1st January 2001 was a Monday, what day was 1st January 2002?,Tuesday,Monday,Wednesday,Sunday,Tuesday,Logical,Medium
Choose the correct spelling,Occurrence,Occurence,Occurance,Ocurrence,Occurrence,Verbal,Medium,Occurrence is spelled with double 'c' and double 'r'.
Choose the most appropriate word to fill in the blank: The police _____ the building to find the thief.,searched,looked,watched,stared,searched,Verbal,Medium,Searched implies a thorough investigation of a place.
Change the voice: The mason is building the wall.,The wall is being built by the mason,The wall was built by the mason,The wall is built by the mason,The wall was being built by the mason,The wall is being built by the mason,Verbal,Medium,Present continuous passive is 'is/am/are + being + V3'.
What is the synonym of the word PRAGMATIC,Practical,Idealistic,Theoretical,Arrogant,Practical,Verbal,Medium,Pragmatic means dealing with things sensibly and realistically.
